Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
5/4/23 22:00,Loveland,CO,USA,Triangle,2 hours,"Bright triangle in the sky rotating, maybe a pyramid. 6 dim, blinking red and green lights circling each other. Came out of no where.",5/19/23,
5/4/23 21:45,Hickory,NC,USA,Cigar,5 minutes,west heading east looked like a pencil shape with solid lights maybe 6 feet apart object seemed a mile away and mile up no sound,5/19/23,
5/4/23 21:25,Newark,OH,USA,Orb,2 minutes,Walking outside and looked up.,5/19/23,
5/4/23 21:25,Hoschton,GA,USA,Circle,5:00,Multi color circular lights grouped in a staggered pattern flying,5/19/23,
5/4/23 21:15,Easton,MD,USA,Other,5 to 8 seconds,String of lights move simultaneously across sky,5/19/23,
5/4/23 21:15,Mellieha,Mellieha,Malta,Other,Estimated 1 min 20sec,No outline of the object it was like a long worm the sky was dark 15-20 lights emitting from what appeared to be its side,5/19/23,
5/4/23 21:00,Ann Arbor,MI,USA,Unknown,Questionable,"5 pics, 1 vid of currently unidentified object in the western dusk sky.",5/19/23,Yes
5/4/23 20:12,Panama,NE,USA,Other,~45min,Bright stationary object prior to dusk that was a hollow ring through telescope.,5/19/23,Yes
5/4/23 05:00,Logan,WV,USA,Light,1-2 seconds,"Bright white circle left light streak, faster than any jet",5/19/23,
5/4/23 01:42,Conway,SC,USA,Orb,5 seconds,2 orbs flying around each other and fast speed,5/19/23,
5/3/23 23:00,,NM,USA,Orb,15 mins,The object was an orb with light white.,5/19/23,Yes
5/3/23 21:25,Alexandria,KY,USA,Unknown,all night,A month ago there was one object hovering stationary object with lights that change colors. Now there are at least 17,5/19/23,Yes
5/3/23 17:27,San Diego,CA,USA,Rectangle,2-4 minutes,"Saw a distant, rotating, wobbling, dark plank (flat rectangle or oval, etc.)",5/19/23,Yes
5/3/23 13:32,Warner Robins,GA,USA,Sphere,5 minutes,Flashing sphere,5/19/23,
5/3/23 05:40,Grand Canyon south rim,AZ,USA,Disk,3 minutes,Taking pictures of the sun rise,5/19/23,
5/3/23 04:00,Franklin,TN,USA,Orb,Still going on,Second time I have witnessed near same area appears red to the naked eye hovering for at least an hour now,5/19/23,
5/3/23 01:45,Albuquerque,NM,USA,Light,20 Minutes,2 lights which appear to be celestial anomalies of the Cassiopeia constellation perform repetitive behaviors (possibly ongoing),5/19/23,
5/2/23 22:06,Yapank,NY,USA,Diamond,Saw this strange light,Saw light in sky that looked out of place,5/19/23,Yes
5/2/23 16:02,Ozone,AR,USA,Unknown,15 seconds,Unrecognizable dark craft flies along southern edge of the Ozarks,5/19/23,
5/2/23 12:15,buffalo junction,VA,USA,Oval,1 minute,silver oval shaped object flying approx 300' above highway 58 and it disappeared,5/19/23,
5/2/23 09:20,West chester,,USA,Oval,7-12 seconds,Potential UAP over route 202 orange glowing blurred object ascending,5/19/23,
5/2/23 08:45,North Richland hills,TX,USA,Triangle,4 minutes,Black hollow triangle with 3 red lights.,5/19/23,
5/2/23 04:46,Falkville,AL,USA,Light,About 10 minutes,Lights that traveled across the sky faster than anything else I've ever seen,5/19/23,
5/2/23 03:30,Edinburgh,Edinburgh,United Kingdom,Disk,Minutes,No noise it was hovering over bus depot at least the size of 2 football pitches,5/19/23,
5/2/23 01:59,Grand Island,NE,USA,Chevron,15 - 30 seconds,"Seemed to be cloaked-no lights, no sound, simply movement in sky, it glided by heading SE.",5/19/23,
5/2/23 00:23,Las Vegas,NV,USA,Unknown,45 second view/discussion,Seen And Spoken To,5/19/23,
5/1/23 23:46,Bridgeport,CT,USA,Orb,About 1 minute,I literally saw a plane or jet chasing it.,5/19/23,
5/1/23 22:00,Newport,WA,USA,Fireball,20 seconds,I seen a big white ball of light followed by a trail of lights,5/19/23,
5/1/23 21:50,Norlina,NC,USA,Circle,5 mins,Circle flashing object in sky,5/19/23,
5/1/23 21:17,Mount Carmel,PA,USA,Formation,10 min,Red Objects Flying in formation.,5/19/23,
5/1/23 05:00,Browning,MT,USA,Circle,5 minutes,Above Browning montana,5/19/23,
5/1/23 03:32,Grand Bay,AL,USA,Sphere,Five to ten minutes,Was looking at stars in the Northern sky and saw a white sphere moving slowly towards the west and suddenly it was gone.,5/19/23,
5/1/23 00:08,,,USA,Other,All day,"All we had to do was zoom in, and look",5/19/23,Yes
4/30/23 21:29,Homestead,,,Cigar,2 minutes,The object couldn't have been a meteor because of its long duration in the sky. The object was bright orange but didnt light up the sky,5/19/23,
4/30/23 20:30,Sebring,FL,USA,Circle,2min,8:30 pm seen a white trail of a moon like object that just appeared with red blinking lights n disappeared,5/19/23,Yes
4/30/23 20:30,Charleston,SC,USA,Orb,5 -10 sec,moving slowly in a straight line,5/19/23,
4/30/23 20:30,Miami Beach,FL,USA,Fireball,3 to 5 minutes,I was walking south on the beach from 69th and turned around to see the half moon shaped craft going faster than anything I ever saw,5/19/23,Yes
4/30/23 20:30,Punta Gorda,,USA,Circle,20 seconds,Was walking my dog.,5/19/23,
4/30/23 20:30,Hypoluxo,FL,USA,Other,one-two minutes,"Bowl-like large shape moving east, the bottom of ""bowl"" leading followed by a long, wide, ribbon-like plume.",5/19/23,
4/30/23 20:29,Pembroke Pines,FL,USA,Fireball,2 minutes,Ball of heat with a rounded cone shape heading east with an orange trail.,5/19/23,
4/30/23 20:25,Hobe Sound,FL,USA,Fireball,3mins,Fireball,5/19/23,Yes
4/30/23 20:15,Chiefland,FL,USA,Circle,:03 seconds,Large orange light source faded out in less 3 seconds,5/19/23,
4/30/23 19:40,Stuart,FL,USA,Cylinder,7 mins,Object falling sky and than changing direction,5/19/23,
4/30/23 18:30,Lara,Victoria,Australia,Changing,40 minutes,Moving object that changed speeds and shape,5/19/23,
4/30/23 18:02,Pittsfield,IL,USA,Triangle,3-4 minutes?,"I�m an amateur photographer, and was noting how cool the hole in the sky look when I saw 3 faint lights in the clouds, keeping form",5/19/23,Yes
4/30/23 17:01,Calgary,AB,Canada,Circle,3 seconds,Silver round object traveled very fast,5/19/23,
4/30/23 16:50,Nevada,TX,USA,Sphere,~8 seconds,"Sph�re travelling at high rate of speed, less than 1000 ft alt, no sound, heading 200 degrees",5/19/23,
4/30/23 15:30,West Bloomfield,MI,USA,Orb,3 minutes,Black orb/round object flying straight line from west,5/19/23,
4/30/23 14:00,Alma,CO,USA,Rectangle,About one minute,"Daytime, low flying object",5/19/23,
4/30/23 05:52,Hobart,Tasmania,Australia,Changing,About an hour,Thought we saw a drone that appeared and descended and hovered in virtually in same spot for 45mins-1hn,5/19/23,Yes
4/30/23 03:40,Downers Grove,IL,USA,Light,1-2 minutes,"Silent,bright intermittent WHITE light - on /off but not strobing- white light on object moving from west to east @~10,000 ft",5/19/23,
4/30/23 02:30,Jones,OK,USA,Orb,20 minutes,Saw bright white orbs appearing and disappearing in the sky to our north east.,5/19/23,Yes
4/30/23 00:18,Alvin,TX,USA,Circle,5 seconds,Light that stayed still and darted to the distance,5/19/23,
4/29/23 23:20,Parkville,KS,USA,Unknown,,Hovering drone-like objects with bright lights,5/19/23,
4/29/23 20:06,El Mirage,AZ,USA,Circle,10-15 minutes,We witnessed a large cluster of objects moving towards us and spreading out as they came closer with several flying around others,5/19/23,
4/29/23 19:30,Charlotte,NC,USA,Sphere,5 MINUTES,Observed spherical dark colored object moving in a NNE direction very slowly,5/19/23,
4/29/23 05:30,Coal harbour,BC,Canada,Circle,Over minute,Remote area,5/19/23,
4/29/23 03:00,Tonawanda,NY,USA,Changing,1hr,Spotted 2 anomaly around 3 am below the cloud overcast (raining in our area). UFO/UAP seemed to change colors and shapes.,5/19/23,Yes
4/29/23 01:00,PRESCOTT VALLEY,AZ,USA,Light,at least one hour,"lights that move in arcs horizontally, 1 to 5 lights moving independently but stay near each other, group drifts W to E over hours",5/19/23,Yes
4/28/23 20:56,Saugerties (Malden),NY,USA,Disk,30 minutes,I took off when the craft looked like it was turning around!,5/19/23,Yes
4/28/23 20:55,Milwaukee,WI,USA,Circle,30 seconds,"A light approximately twice the magnitude of Venus appeared due South, unmoving and held position until vanishing 30s later.",5/19/23,
4/28/23 05:00,Woodland,WA,USA,Light,2.5 minutes,Ball of light that flew overhead across the sky at a steady speed,5/19/23,
4/28/23 02:15,Cheyenne,WY,USA,Egg,Still going on,Three hovering objects,5/19/23,
4/27/23 22:59,Losantville,IN,USA,Triangle,Lengthy,Large craft with multiple circular lights.,5/19/23,
4/27/23 21:50,Covington,LA,USA,Circle,"Intensely, several minuts",Hundreds of flying objects hovering over my car through the sky,5/19/23,
4/27/23 21:30,Coeburn,,,Light,Unknown lights in sky,We can't explain what this unknown light was.,5/19/23,Yes
4/27/23 20:30,Portland,OR,USA,Light,20 minutes maybe,Portland lights,5/19/23,
4/27/23 15:34,Chino Valley,AZ,USA,Sphere,approximately 3 minutes,"It was stationary in the skyline approximately somewhere above 30 thousand feet, bright, silver, and no identifying markers or lights.",5/19/23,Yes
4/27/23 11:50,Lacey,WA,USA,Circle,,I was on the free way and seen something out side my side window and it was a circle shape flying and than disappeared,5/19/23,
4/27/23 09:30,Lansing,MI,USA,Changing,40 minutes,"Ok,going to bank,blue sky,no clouds,big x from jet planes in sky,took alot of photos,then decided to zoom in on x,saw UFO'S,so I record",5/19/23,Yes
4/27/23 04:20,Bendigo,Victoria,Australia,Changing,Between 30 sec to 1 min,bright star light that was changing colour to red on and off very slowly then it went off on a very fast angle then many other objects,5/19/23,
4/27/23 03:09,Crawford,CO,USA,Sphere,Several minutes,Saw a flash then a spear moving to the Northeast from the southwest then exploding with hardly any trail and there's a red explosion,5/19/23,
4/27/23 02:51,Albuquerque,NM,USA,Fireball,:57 seconds recorded,See video,5/19/23,Yes
4/27/23 02:50,Fruita,CO,USA,Fireball,45 seconds,Seen flying in a northeastern direction. From the colorado national monument towards Mt Garfield about Mesa County Colorado.,5/19/23,
4/27/23 00:23,,,,Circle,5.1 minutes,I'm jast locking and found this,5/19/23,Yes
4/27/23 00:00,Woodstock,IL,USA,Orb,5 min,Bright white illuminated top of craft small blinking light on bottom,5/19/23,Yes
4/26/23 22:30,Reidsville,NC,USA,Star,No more than two minutes.,"An extremely large and bright, burning light hovering slowly in the sky that was gone shortly after.",5/19/23,
4/26/23 12:00,Echo canyon,UT,USA,Cylinder,4 seconds,Shiny tick tack shaped object appeared out of nowhere and flew into a very small cloud and never came out.,5/19/23,
4/26/23 10:50,New Boston,MI,USA,Cross,1 minute,Small white bird shaped object barely visible.,5/19/23,
4/26/23 00:37,Chicago,IL,USA,Circle,Milliseconds,Floating disc over I-55,5/19/23,Yes
4/25/23 21:10,Kent,WA,USA,Unknown,2 seconds,"Bright green light flying in a straight line from east to west, at least 120mph.",5/19/23,
4/25/23 13:00,Danville,CA,USA,Formation,Ongoing @ 0245,This may sound crazy but I believe we're witnessing an to the minute invasion,5/19/23,
4/25/23 12:00,Omaha,NE,USA,Cylinder,1 minute,I saw a black pill like object moving across the sky from the south going north while looking to the west.,5/19/23,
4/25/23 05:15,Seymour,IN,USA,Unknown,Approximately 5 seconda,5 horizontal lights side by side on single object traveling west to east at moderate speed,5/19/23,
4/25/23 04:38,Mt. Vermon,OH,USA,Orb,It was a few seconds to f,I was driving forward up the hill and I saw something very bright just fall to the ground,5/19/23,
4/25/23 04:32,Columbus,OH,USA,Light,,Green lighting and moving fast it flew buy pretty quick u saw it then it was gone,5/19/23,
4/24/23 21:30,Londonn,,United Kingdom,Triangle,Only 10 seconds,I saw a matt black long flat pyramid that seemed to hover in the sky. I ducked under the window and when I looked back up it moved away,5/19/23,
4/24/23 20:23,Belvidere,IL,USA,Triangle,2 minutes hovering in the,"Saw aircraft hovering in the sky with white lights on corners, close to ground, slate colored, silent.",5/19/23,
4/24/23 14:32,San Diego,CA,USA,Orb,about 30 seconds,"I say an orb that said ""ill kill you!""",5/19/23,
4/24/23 14:32,San Jose,CA,USA,Unknown,A few minutes,I saw something white that looked like it was small and bulbous. It looked bigger than a human.,5/19/23,
4/24/23 11:20,Sioux Falls,SD,USA,Sphere,5 minutes,"We saw multiple flying objects moving in a synchronized way back and forth, staying still, and moving at incredible speed out of sight.",5/19/23,Yes
4/23/23 23:28,Waukesha,WI,USA,Circle,Approximately 5 minutes,Dropped out from clouds,5/19/23,Yes
4/23/23 22:19,Sunny Isles Beach,FL,USA,Light,1 min,2 dots spiraling and one closely following it then shot across the sky,5/19/23,
