Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
3/1/23 20:16,Broken Arrow,OK,USA,Unknown,10,It looked like an aircraft that wasn't moving for 10 minutes in the distance.,3/6/23,
3/1/23 20:15,Rochester,NY,USA,Light,20 minutes,Two lights that appeared to be from one object high and stationary in sky. NUFORC Note: Jupiter and Venus,3/6/23,Yes
3/1/23 20:00,Kalamazoo,MI,USA,Unknown,Over an hour and still th,2 lights. NUFORC Note: Jupiter and Venus,3/6/23,
3/1/23 20:00,Coldwater,MI,USA,Light,Ongoing,Hovering lights spotted in Coldwater and in Lansing. NUFORC Note: Jupiter and Venus,3/6/23,Yes
3/1/23 19:58,Lenexa,KS,USA,Circle,Over 10 mins,2 lights in a row hovering over I35 and 95th street. NUFORC Note: Jupiter and Venus,3/6/23,
3/1/23 19:57,Cherryvale,KS,USA,Other,45 seconds on camera,There were two white lights in the sky that were too low to be a plane. NUFORC Note: Jupiter and Venus,3/6/23,
3/1/23 19:55,Coldwater,MI,USA,Other,Still ongoing,2 really vibrant glowing orb like objects that seem to be connected. NUFORC Note: Jupiter and Venus,3/6/23,Yes
3/1/23 19:53,Holland,MI,USA,Disk,All evening in dark sky,Hanging in the sky moving extremely slow hovering in the sky. NUFORC Note: Jupiter and Venus,3/6/23,
3/1/23 19:53,Saylorsburg,PA,USA,Unknown,15 minutes,Saw 2 lights in the sky while getting dropped off at home. NUFORC Note: Jupiter and Venus,3/6/23,Yes
3/1/23 19:51,,MI,USA,Triangle,Constant. Still there.,Fixed lights next to each other. 2nd night seen. NUFORC Note: Jupiter and Venus,3/6/23,Yes
3/1/23 19:46,Mapleton,ND,USA,Unknown,25 minutes and ongoing.,I was moving snow for a couple hours when I noticed 2 lights to the west. NUFORC Note: Jupiter and Venus,3/6/23,Yes
3/1/23 19:46,Parkland,FL,USA,Star,15 minutes maybe longer,"Saw two bright stars but one changed colors, seemed to not move at all. NUFORC Note: Jupiter and Venus",3/6/23,Yes
3/1/23 19:45,Greeley,CO,USA,Light,Over 1.5 hrs,Witnessed multiple lights,3/6/23,
3/1/23 19:40,Dunakeszi,Pest County,Hungary,Unknown,,Look the photos,3/6/23,Yes
3/1/23 19:38,Garden City,ID,USA,Circle,UFO?,Saw what appeared to be a Aireal object just hovering in the sky not moving. NUFORC Note: Jupiter and Venus,3/6/23,Yes
3/1/23 19:36,Youngsville,null,,Light,Still present,"Two objects, or one with two lights. NUFORC Note: Jupiter and Venus",3/6/23,
3/1/23 19:35,Sherman Oaks,CA,USA,Unknown,1/2 an hour,There are two lights that sit apart clearly attached to something. NUFORC Note: Jupiter and Venus,3/6/23,Yes
3/1/23 19:35,Laguna Woods,CA,USA,Circle,Half hour so far,"Saw two stationary lights, one brighter than the other with an apparent aircraft flying to the left. NUFORC Note: Jupiter and Venus",3/6/23,Yes
3/1/23 19:35,Shelby township,MI,USA,Light,Still ongoing for 20min,Seeing two balls of light in the distance. NUFORC Note: Jupiter and Venus,3/6/23,Yes
3/1/23 19:35,Oceanside,CA,USA,Star,About 10 minutes,"Looked up at the sky, these 2 ""stars"" shining very brightly side by side. NUFORC Note: Jupiter and Venus",3/6/23,
3/1/23 19:35,Berlin,MD,USA,Oval,10 minutes,I watched in the dark as it slowly moved overhead. NUFORC Note: Jupiter and Venus,3/6/23,Yes
3/1/23 19:30,Leesburg,GA,USA,Cross,Over 30 minutes,Two stationary white lights. One smaller & higher than the other. NUFORC Note: Jupiter and Venus,3/6/23,Yes
3/1/23 19:30,Glenview,IL,USA,Oval,40 minutes,The black elliptical object with 2 bright lights on each end hovered. NUFORC Note: Jupiter and Venus,3/6/23,Yes
3/1/23 19:25,Roseburg,OR,USA,Light,30 minutes,2 lights near one another approximately 1 inch apart. NUFORC Note: Jupiter and Venus,3/6/23,Yes
3/1/23 19:20,Butler,PA,USA,Circle,Approx 20 seconds,"Saw two orange lights, one larger than the other, very close together, still, not moving. NUFORC Note: Jupiter and Venus",3/6/23,
3/1/23 19:19,Munhall,PA,USA,Other,3 + minutes,Two crafts then one dissappeared. NUFORC Note: Jupiter and Venus,3/6/23,Yes
3/1/23 19:17,New hope florida,FL,USA,Circle,25 minutes,"I watched 2 lights that were different sizes, one being bigger then the other. NUFORC Note: Jupiter and Venus",3/6/23,Yes
3/1/23 19:15,Hazleton,PA,USA,Oval,15-20 minutes??,"Oval shaped object, and tiny red light",3/6/23,
3/1/23 19:15,Lima,NY,USA,Light,20 minutes so far,It is two lights in the western sky that are not star like. Not moving. NUFORC Note: Jupiter and Venus,3/6/23,
3/1/23 19:08,Barberton,OH,USA,Other,25 minutes plus,Two lights high in the sky stationary very large and bright. Seen clouds moving infront of it. NUFORC Note: Jupiter and Venus,3/6/23,Yes
3/1/23 19:07,Farrell,PA,USA,Changing,7:10pm,Light greenish blue-red then all white then another light up directly in front of it,3/6/23,
3/1/23 19:00,Jackson,MS,USA,Unknown,1 hour,2 star-like objects close together not moving but there was too much cloud cover to see other stars. NUFORC Note: Jupiter and Venus,3/6/23,Yes
3/1/23 19:00,North Las Vegas,NV,USA,Triangle,At least 10 minutes,2 lights with one dark triangular object hovering. NUFORC Note: Jupiter and Venus,3/6/23,
3/1/23 18:50,Maquoketa,IA,USA,Unknown,30 mins?,Two bright lights in a direct line hovering. Very large and very bright no noise came from it. NUFORC Note: Jupiter and Venus,3/6/23,
3/1/23 18:49,Butler,PA,USA,Unknown,15 minutes,Looked up at an unfamiliar light in the sky that me and my wife had first noticed. There were 2 lights. NUFORC Note: Jupiter and Venus,3/6/23,Yes
3/1/23 18:45,Spokane,WA,USA,Circle,35 minutes,Observed 2 bright circular objects that appeared to emit extremely bright white light. NUFORC Note: Jupiter and Venus,3/6/23,
3/1/23 18:45,Delavan,WI,USA,Light,45 minutes on going,2 close bright lights very close staionary. NUFORC Note: Jupiter and Venus,3/6/23,Yes
3/1/23 18:30,Jurupa Valley,CA,USA,Other,1hr,2 lights hovering in same spot for over an hour. NUFORC Note: Jupiter and Venus,3/6/23,
3/1/23 18:25,glenview,IL,USA,Light,2 hours,it was an alignment of 2 bright lights not moving. NUFORC Note: Jupiter and Venus,3/6/23,
3/1/23 18:20,Torrance,CA,USA,Light,still going on,Two small lights apart - about the width of a wing span of a commercial airplane. NUFORC Note: Jupiter and Venus,3/6/23,Yes
3/1/23 10:36,Kelo,Logone Occidental Region,Chad,Egg,10 minutes,Okay. I was minding my business when I saw about 10 eggs floating in the air and it was scary for me. They were also glowing green,3/6/23,
3/1/23 07:15,Riverdale,CA,USA,Light,10 mins,"Strange circular lights floating still, below star range. NUFORC Note: Jupiter and Venus",3/6/23,Yes
3/1/23 00:04,"Farmville,",VA,USA,Unknown,ongoing for 30+ minutes,Went out to walk dog and saw a cluster of colored lights moving irradically (zig-zaging) and then noticed additional similar clusters.,3/6/23,
3/1/23 00:03,Farmville,VA,USA,Other,Now present,"Multiple lights in array on craft, too far to discern shape. Lights red, white and blue. Erratic movements, not straight paths",3/6/23,
2/28/23 20:40,Columbus,GA,USA,Circle,10 or 12 minutes,"Brilliantly illuminated, scintillating, disc-shaped objects moving at constant speed. Illumination dimmed as objects passed over city.",3/6/23,Yes
2/28/23 20:15,Pearces,NC,USA,Circle,15 minutes,Entire circle was white and very bright with one orb smaller than the other. NUFORC Note: Jupiter and Venus,3/6/23,
2/28/23 20:06,Fort Smith,AR,USA,Circle,about 1 mile,Two round objects hovering above each other. NUFORC Note: Jupiter and Venus,3/6/23,
2/28/23 20:02,Blairsville,GA,USA,Circle,Continuous for past hour,Stationary bright lights in Western sky. NUFORC Note: Jupiter and Venus,3/6/23,
2/28/23 19:59,Dearing,GA,USA,Circle,Continuous every night,"Floating, hovering objects appear to be tethered to the ground possibly balloons on the circumference of each balloon, are four lights,",3/6/23,
2/28/23 19:46,Murfreesboro,TN,USA,Light,It's been sitting for 1hr,I noticed it an hour ago. I posted on Twittrer and Facebook. NUFORC Note: Jupiter and Venus,3/6/23,Yes
2/28/23 19:45,Vineland,NJ,USA,Star,10 seconds,2 stars orbiting each other before breaking apart and flying out of sight,3/6/23,
2/28/23 19:27,Kansas City,MO,USA,Delta,Last 40 min,They seem to be hovering like they are waiting on something. NUFORC Note: Jupiter and Venus,3/6/23,
2/28/23 19:17,Murfreesboro,TN,USA,Circle,It's been sitting for 1hr,I seen them for 2+ hours. NUFORC Note: Jupiter and Venus,3/6/23,Yes
2/28/23 19:16,Baltimore,MD,USA,Changing,At least 30 minutes or mo,2 big lights close together looks round then changed. NUFORC Note: Jupiter and Venus,3/6/23,
2/28/23 19:10,Kirksville,MO,USA,Light,We left after 2 min so ?,Two bright lights in the dark sky not moving. Hovering close together. Faint green and red lights intermittently.,3/6/23,
2/28/23 19:08,Fredericksburg,VA,USA,Light,Filing at 1922: ongoing,Observed 2x stationary low UFO over a field/highway in front of my house. NUFORC Note: Jupiter and Venus,3/6/23,Yes
2/28/23 19:00,Nadi,Western Division,Fiji Islands,Circle,Roughly 5 mins,2 ufo was spotted twice on 2 consecutive days.,3/6/23,Yes
2/28/23 19:00,Woodland,WA,USA,Circle,30-45 minutes,Hovering close together. Faint green and red lights intermittently. NUFORC Note: Jupiter and Venus,3/6/23,Yes
2/28/23 18:50,Washington,DC,USA,Light,Ongoing,A motorist stopped us to point out two lighted objects in the sky. NUFORC Note: Jupiter and Venus,3/6/23,Yes
2/28/23 18:34,Irving,TX,USA,Unknown,1 minute,"Upon reviewing the photos, I saw two bright lights in one of my photos. NUFORC Note: Jupiter and Venus",3/6/23,Yes
2/28/23 18:27,Belkevue,WA,USA,Cigar,30 seconds,Unidentified aircraft (possibly manned),3/6/23,Yes
2/27/23 22:37,,LA,USA,Fireball,Continuous,Strange red light on side of moon. Blinked from time to time.,3/6/23,
2/27/23 22:13,Clermont 4 corners,FL,USA,Fireball,5 seconds,3 fireballs zipped across the sky like asteroids falling,3/6/23,
2/27/23 21:55,Whitehorse,YK,Canada,Circle,12 mins,170 degrees south from location. NUFORC Note: Jupiter and Venus,3/6/23,Yes
2/27/23 20:43,Yorkton,SA,Canada,Other,At least 10 minutes,Sighted out the North bathroom window so took pictures. NUFORC Note: Jupiter and Venus,3/6/23,Yes
2/27/23 20:10,Boca Raton,FL,USA,Light,1 minute,2 clouds (back one lit up),3/6/23,
2/27/23 20:02,Sarasota,FL,USA,Light,Approx 5 min,Observed light over the Gulf of Mexico that was preceded by cloud/mist travelling North to South parallel to the coast.,3/6/23,Yes
2/27/23 20:00,Bokeelia,MA,USA,Changing,3-5 minutes,"We observed a bright light, low on the horizon, moving towards us that we noticed as it got closer to be a backlit grayish white object",3/6/23,
2/27/23 19:54,Nokomis,FL,USA,Other,3-4 minutes,2 weird lit up flying objects,3/6/23,Yes
2/27/23 19:54,San Miguel de Cozumel,Quintana Roo,Mexico,Sphere,2.5 minutes.,"Light approached Cozumel at ~ 15,000ft. No sound. Stopped and hovered above for ~ 5 seconds and then shot off and vanished within secon",3/6/23,Yes
2/27/23 19:50,Estero,FL,USA,Light,1 minute,Incredible bright object- floating silently over at about 2000k feet.,3/6/23,
2/27/23 19:45,Brandon,SD,USA,Cross,20-30 minutes,Two stationery craft. NUFORC Note: Jupiter and Venus,3/6/23,Yes
2/27/23 19:35,Woodville,TX,USA,Light,40 minutes,Two bright white lights with one noticable red light at bottom of each seem to be hovering in the sky.,3/6/23,
2/27/23 19:29,Bas Terre,Saint Kitts,Saint Kitts And Nevis,Disk,2 minutes,Rising disc with a huge plume behind and then the light disappeared instantly,3/6/23,Yes
2/27/23 19:00,Florence,AL,USA,Circle,1 minute,My wife and I were walking our dog and noticed a very large balloon like object floating rapidly across the sky.,3/6/23,
2/27/23 18:00,Woodbury,TN,USA,Other,1 hour,2 craft stationary in the sky...unmoving for 1 hour.,3/6/23,Yes
2/27/23 14:45,Orlando,null,,Cylinder,Visible about 3 minutes,"Cylinder-shaped object with white trail fell NW of Denny's, stopped, then changed direction, trail and object disappeared after 3 mins.",3/6/23,Yes
2/27/23 11:54,lutz,FL,USA,Formation,5,Formation of 15-20 metallic star like objects heading north,3/6/23,
2/27/23 07:30,Hitchin,Hertfordshire,United Kingdom,Orb,Viewed & recorded 20 mins,Orbish type shape with smaller Orb under,3/6/23,Yes
2/27/23 00:15,Rosedale,MD,USA,Disk,5 minutes,Bright Hovering Disc. The disc was vibrating and at one point there appeared to be beams of light passing to the ground.,3/6/23,
2/26/23 21:43,Newbury,,United Kingdom,Light,20-30 seconds,"Witnessed two lights, travelling from west to east, not in a straight line, changing formation",3/6/23,Yes
2/26/23 20:49,Mandeville,LA,USA,Other,Right now,We were getting out of the car at night and there was this singular tiny circle cloud shaped Grey thing that was flying extremely slow,3/6/23,
2/26/23 19:15,Rockwood,MI,USA,Light,App. 2 1/2 hours,2 lights in stack formation same speed. Much brighter than Venus. NUFORC Note: Jupiter and Venus,3/6/23,Yes
2/26/23 19:10,Moscow,WA,USA,Orb,Around 20 minutes,"Orbs got repeatedly bright and dim, quickly moved across the sky",3/6/23,Yes
2/26/23 17:30,Memphis,TN,USA,Light,2 clips 30 seconds or so,My wife was videoing the bird migration and she caught the object in her periferal vision. Then we looked at the clips and saw it.,3/6/23,
2/26/23 17:13,Lone tree,CO,USA,Oval,15-20 seconds,"Two very silver, shiny oval, looking spears one 45� above the other",3/6/23,
2/26/23 16:22,"Roseburg, green district",OR,USA,Unknown,5mins +/-,Saw three but only one was visible by time I got phone for picture,3/6/23,Yes
2/26/23 13:10,san juan capistrano,CA,USA,Sphere,15 seconds,"Colorless orb, flying relatively low at high speed in a straight line",3/6/23,
2/26/23 11:40,Sisquoc,CA,USA,Triangle,Seconds,"Caught it with my camera flying about 100 ft above ground level at mach 1+ yet no visible engine, no sonic boom, no contrail, no sound!",3/6/23,Yes
2/26/23 04:45,Raymond,NH,USA,Triangle,Saw lit for ten seconds,Solid lit triangle heading north northwest,3/6/23,
2/25/23 21:30,Faringdon,Oxfordshire,United Kingdom,Orb,5 minutes,5 glowing orange orbs in convy 2 at front 2 next to each other one of which was going up and down very fast,3/6/23,
2/25/23 20:55,Thornton,CO,USA,Triangle,10-15 seconds max,Triangle shaped with energy shield or microwaves,3/6/23,
2/25/23 20:30,Lexington,OH,USA,Unknown,30 min,Took photos. Lights on it. stayed in one spot 20 min then moved slightly then gone. NUFORC Note: Jupiter and Venus,3/6/23,Yes
2/25/23 20:30,Jackson,OH,USA,Light,Seconds,Fast moving white light.,3/6/23,
2/25/23 19:33,Grand junction,CO,USA,Formation,35,Walking dogs and to the west there were 2 very bright lights in the lower part of the horizion,3/6/23,Yes
2/24/23 23:35,Mill Bay,BC,Canada,Sphere,5 minutes,"Clear dark night. 2 round balls that looked like a disco ball low in sky. One approx. South West, the other East above Cowichan Bay",3/6/23,
2/24/23 21:27,Eureka,CA,USA,Circle,Approx. 30 seconds,Bright white light moving across the sky,3/6/23,
2/24/23 20:40,Shreveport,LA,USA,Formation,,"Bright light in woods behind fence, something in corner of picture taken.",3/6/23,Yes
2/24/23 20:30,North Salem,NY,USA,Circle,Still happening,Bright white rings of lights moving erratically in the sky over the mountains in the front & back of house,3/6/23,
2/24/23 19:29,LOXAHATCHEE,FL,USA,Fireball,20 seconds,Bright red ball appear above me. It was light red in the middle with a darker red outline and a very dark spot in the middle.,3/6/23,
2/24/23 05:45,Inman,SC,USA,Changing,30 seconds,It was big and had flashing white nights when it went over entire body felt weak and then next thing you know it took off fast,3/6/23,
2/24/23 00:31,Fort Myers,FL,USA,Other,Less than a minute,"An ""L"" shaped craft with 5-7 white, circular rings on its undercarriage. Had no visible lights. Was illuminated by city lights.",3/6/23,Yes
2/24/23 00:02,Denver or Littleton,CO,USA,Unknown,15 minutes,"Twice I�ve seen a bright light, with various colors, hovering in the sky",3/6/23,
2/23/23 19:10,Genoa,WV,USA,Sphere,3-5 minutes,"Looks like a very bright star, but moves (mostly back and forth slowly). It moved down ~2 degrees in 10 min. Cloud cover it sometimes",3/6/23,
2/23/23 18:30,Liverpool,,United Kingdom,Triangle,20 seconds,A very small circle solid object with a triangle of green lights around it,3/6/23,
2/22/23 20:50,Macomb,MI,USA,Light,40 seconds,Sky lit up bright blue,3/6/23,
2/22/23 20:15,Silver Spring,MD,USA,Disk,5 seconds,Disk in Sky with Bright Turqoise Colored Ring Light,3/6/23,
2/22/23 19:32,denver/ moorsville,NC,USA,Circle,7:30-7:40,3 bright lights traveling at a very high altitude at a extremely high speeds,3/6/23,
2/22/23 19:05,Wellston,OH,USA,Circle,Roughly 5 minutes,I saw what looked like a star in the sky but it was moving to the left.,3/6/23,
2/22/23 19:00,Ogdensburg,NY,USA,Cylinder,2-3 min,Looked like a dotted line in the night sky,3/6/23,Yes
2/22/23 18:10,Roseville,MI,USA,Triangle,1 minute,"Spinning, Pyramid shaped, nearly invisible object pulsed blue light across entire block.",3/6/23,
2/22/23 16:52,Sierra Valley,CA,USA,Circle,5 Minutes,Floating Circular Object,3/6/23,Yes
2/21/23 22:20,Elizabethtown,PA,USA,Other,15 minutes,Stationary in sky,3/6/23,Yes
2/21/23 19:58,Clio,AL,USA,Circle,5 minutes,I was literally standing in my front yard and they came very low to the ground I got very scared and began to run and they vanished,3/6/23,
2/21/23 19:30,Wooster,OH,USA,Disk,1 hour,Light hovering back and forth in the sky for unknown period of time.,3/6/23,
2/21/23 18:34,Ventura,CA,USA,Unknown,About 10 minutes,A contrail heading steeply down toward the moon and then below it to the horizon. It had a red light flashing at the tip,3/6/23,
2/21/23 18:30,Bloomington,IL,USA,Other,Captured a still image,"While taking a pic of the moon and stars, I did not see the UFO in the sky; image of the UFO was captured in the photo.",3/6/23,Yes
2/21/23 17:00,Gouldsboro,PA,USA,Other,Possibly 1-2 minutes.,"Driving home on I-380 North, saw object in the sky, assumed it was an airplane, but it really wasn't moving until it was gone.",3/6/23,
2/21/23 14:10,Burnsville,,,Egg,Less than a second 300ele,Screaming object flies under hovering drone at unbelievable speed!,3/6/23,Yes
2/21/23 08:50,Three oaks,MI,USA,Oval,Seen it for about 4 min,Small car size oval coming from trees and into the city,3/6/23,Yes
2/20/23 21:38,Largo Florida,FL,USA,Triangle,,Large triangle figure with approximately 9 bright light beams no sound less then 15 seconds then gone no sound.,3/6/23,
2/20/23 20:32,Poulsbo,WA,USA,Formation,1 hour,Me and my aunt spotted different unknown objects in the sky. NUFORC Note: Jupiter and Venus,3/6/23,Yes
2/20/23 19:20,Oaxaca,Oaxaca,Mexico,Disk,Brief,Photo captured unseen potential UAP.,3/6/23,Yes
2/20/23 17:00,Hartford,WI,USA,Disk,2 minutes,Witness saw two ufos hovering and then leave and then saw one more and then leave.,3/6/23,
2/20/23 04:10,Avon Lake,OH,USA,Unknown,45 seconds max,Chilling audio encounter like nothing I have ever experienced.,3/6/23,
2/20/23 03:51,Las Vegas,NV,USA,Light,11 seconds,Two lights moving in sync across camera very low,3/6/23,
2/20/23 01:45,Beulah,Victoria,Australia,Light,20 seconds,Very bright light observed twice,3/6/23,
2/20/23 00:24,Divide,CO,USA,Light,25 minutes,Light moving erratically in the sky.,3/6/23,
2/19/23 22:30,Cuyahoga falls,OH,USA,Circle,20 minutes,A single ufo sighting from kitchen window.,3/6/23,Yes
2/19/23 20:58,Waterford,MI,USA,Orb,Approx 15 seconds,"Bright white light orbs with green edges, very bright and rocketing very fast towards the ground west of PTK airport",3/6/23,
2/19/23 20:50,Fowlerville,MI,USA,Other,1 second,"Bluish semicircle, flying fast, making absolutely no sound",3/6/23,
2/19/23 19:35,Liverpool,,United Kingdom,Diamond,15 minutes,Two objects in sky moving north one disappeared the carried on till out of sight. NUFORC Note: Jupiter and Venus,3/6/23,
2/19/23 19:35,Canton,OH,USA,Light,2 minutes,Looked like a missle was fired. The exhaust quickly disappeared.,3/6/23,
2/19/23 19:30,Ipswixh,Suffolk,United Kingdom,Light,Ongoing,2 bright lights seen diagonally from one another over the horizon. NUFORC Note: Jupiter and Venus,3/6/23,Yes
2/19/23 19:25,Bonita Springs,FL,USA,Formation,1 hour,Weird Lights,3/6/23,Yes
2/19/23 19:15,,TN,USA,Orb,momentary,Moon behind diffuse clouds. Not moon.,3/6/23,
2/19/23 18:35,Linden,VA,USA,Light,30 seconds,A bright BRIGHT light at twilight that suddenly appeared and disappeared over the tree line about the distance of a blimp in the sky,3/6/23,
2/19/23 18:31,Bridgeville,PA,USA,Changing,15,Lights that got more intense.,3/6/23,Yes
2/19/23 13:30,Metairie,LA,USA,Other,1 minute,Driving and saw a hovering object over residences,3/6/23,
2/19/23 07:20,Punta Gorda,FL,USA,Unknown,2 minutes,Saw something that looked like a plane but wasnt,3/6/23,Yes
2/18/23 22:41,Bethany,ON,Canada,Light,10+ minutes,"Object in the sky, flickering spectrum of colours, maintaining general position but darting back and forth impossibly fast",3/6/23,
2/18/23 21:30,Gainesville,FL,USA,Chevron,10 seconds,Object coasted overhead in complete silence and nearly invisible.,3/6/23,
2/18/23 20:20,Zebulon,NC,USA,Changing,5 min,Looked like a constellation at first then turned and slowly quietly flew over our car looking more like a spacecraft,3/6/23,
2/18/23 20:00,Greenback,TN,USA,Rectangle,20 seconds,Three dots that made a triangle,3/6/23,
2/18/23 19:58,Lodi,CA,USA,Triangle,4-6 seconds,Dimly lit triangle seen moving fast across the sky,3/6/23,
2/18/23 19:54,Capulin,NM,USA,Other,,Appeared only in this photo and not in any other immediately before or after,3/6/23,Yes
2/18/23 19:43,Concord,CA,USA,Fireball,A few minutes,A few minutes of a color changing fireball-looking object,3/6/23,
2/18/23 19:31,mooreland,OK,USA,Circle,2 hours,It looked to be a star but it was too bright to be a star and it started moving.,3/6/23,Yes
2/18/23 19:27,Hagerstown,MD,USA,Other,It is still there 5min,"A horseshoe shaped line of bright twinkling dots of lights 200 yards in a vertical plane, elevation not more than 5000 feet up",3/6/23,
2/18/23 17:00,Frederick,MD,USA,Oval,20 Seconds,"Object was 1,000 feet behind a medium sized plane, caught up and then was flew beneath it. Flew away South-East at incredible speed.",3/6/23,
2/18/23 16:50,Pasco,WA,USA,Formation,8-10 min,"It could be clouds, maybe? Or a weather balloon or space junk falling to earth?",3/6/23,Yes
2/18/23 07:25,Baltimore,MD,USA,Cylinder,Several minutes,Bottle Shape White object flying through sky,3/6/23,Yes
2/18/23 02:05,Kingston,WA,USA,Circle,15 minutes or so,Much the same flight path as commercial jets. Saw very bright lite that looked like a plus sign. Went inside and up on second floor t,3/6/23,
2/18/23 01:39,St. Louis,MO,USA,Orb,1 second - 4 seconds,Bright white flash circular/ball like figure appears and disappears.,3/6/23,
2/17/23 18:30,Blanchard,PA,USA,Circle,Over 15 minutes,Two very bright white objects traveling from south to northwesterly direction.,3/6/23,Yes
2/17/23 16:30,Valdese,NC,USA,Sphere,15 minutes,A large green sphere near Valdese NC,3/6/23,
2/17/23 08:48,"On the way to Wapaca, Wisconsin",WI,USA,Unknown,time taking the videos,"Clear sky, suddenly while driving an object was falling from the sky.",3/6/23,Yes
2/17/23 07:26,Sheridan,OR,USA,Disk,Around 2 minutes,"Early morning sunrise, south side of Hwy 18.",3/6/23,Yes
2/17/23 07:10,San Diego,CA,USA,Other,1-2 minutes,No sound . It went right over an FAA Tracon facility,3/6/23,
2/17/23 04:20,Minneapolis-st paul,MN,USA,Changing,Less than a second,Orange light appeared high in the sky went up in a angle and got bigger before disappearing,3/6/23,
2/17/23 00:30,Catasauqua,PA,USA,Changing,About 1 minute,Sound,3/6/23,
2/16/23 23:25,Rocky View County,AB,Canada,Light,5,"2 solid bright lights go straight up slowly, one at a time, then change direction and start blinking towards the south",3/6/23,
2/16/23 22:00,homestead,FL,USA,Changing,All during the night.,"The white blobs look like therir zooming from my roof. I can't see them with my naked eye.They set off my motion Alarm, i can watch fro",3/6/23,Yes
2/16/23 20:44,Statesville,NC,USA,Orb,Maybe 2-3 mibe,I looked up and saw a strange orb,3/6/23,
2/16/23 19:58,Naples,FL,USA,Chevron,10 minutes and counting,2stationary objects over gulf hovering in sky,3/6/23,Yes
2/16/23 19:15,tucson,AZ,USA,Unknown,less than 10 min,went outside to enjoy a newport. was looking at stars and saw one move. saw two helicopters headed towards it after I had lost sight.,3/6/23,
2/16/23 17:45,Cornwall,,Canada,Disk,Not sure..couple of minut,"First photo a disc,2nd photo multiples",3/6/23,
2/16/23 10:43,Lakewood,CO,USA,Sphere,5-10 minutes,Dark grey/ grey/ white Sphere in the sky,3/6/23,Yes
2/16/23 05:00,Toms River,NJ,USA,Star,10 minutes,"Star that moved, then changed directions",3/6/23,
2/15/23 23:10,Troup,TX,USA,Orb,5 -10 minutes,Orb like object - circular movement pattern and changes in brightness,3/6/23,
2/15/23 21:24,Jacksonville,FL,USA,Fireball,Approx. 1 minute,2 orange fireballs flying parallel to each other then progressively fading out.,3/6/23,
2/15/23 19:45,Brookfield,VT,USA,Unknown,15 to 20 min.,We see satelites quit a bit. This was a row of about 50 of them equally spaced & going about the speed of a satellite.,3/6/23,
2/15/23 19:40,Carver,MA,USA,Changing,1 minute,Translucent lines,3/6/23,
2/15/23 18:05,Port Orchard,WA,USA,Star,Around 5 min.,It was a bright light,3/6/23,
2/15/23 10:46,Indianapolis,IN,USA,Disk,20-30 Seconds,I walked out of the school and was watching a plane and noticed something smaller fly past it heading the opposite direction.,3/6/23,Yes
2/15/23 10:34,Syracuse,UT,USA,Diamond,,"We were leaving a jobsite and my friend spotted this wierd craft just crusing slowly close by us, i grabbed my camera got video n photo",3/6/23,Yes
2/15/23 07:00,Crittenden,KY,USA,Orb,10 minutes,Bright orb stationary at first then started to dissapear and reappear in different locations,3/6/23,
2/15/23 03:12,Chunchula,AL,USA,Light,5-10 mins,Like a scurrying mouse in the sky . Flash in and out,3/6/23,
2/14/23 23:08,Tacoma,WA,USA,Orb,I followed it for 10 min.,A light that was coming and going the light would go away then re appear in a further location.,3/6/23,
2/14/23 20:59,Valrico,FL,USA,Light,10 minutes,I saw towards the E a light that resembled the space shuttle flames when we used to see when it went up.,3/6/23,Yes
2/14/23 19:30,Haddon Heights,NJ,USA,Changing,Hours,This is the 3rd night in a row a changing ball has been sipping back n forth at incredible speed and it almost seems to be showing off,3/6/23,
2/14/23 18:37,Granite Falls,NC,USA,Circle,2 mins,We were coming home from Walmart and saw this object moving at a high rate of speed. Lower than where a helicopter or plane would be.,3/6/23,Yes
2/14/23 18:35,Gardiner,NY,USA,Orb,ten minutes or so,"A string of evenly spaced lights, like Japanese lanterns, traveling in a stream across the northern sky, west to east.",3/6/23,
2/14/23 17:40,Saugerties/Woodstock,NY,USA,Unknown,One or two minutes,Something in the sky appeared to be falling straight downward.,3/6/23,
2/14/23 15:55,Fort Smith,AR,USA,Circle,Less than a minute,Seen a shiny object moving across the sky at 3:55pm on 2/14/23.,3/6/23,Yes
2/14/23 12:45,Greenville,NC,USA,Cylinder,5 seconds,I�ve seen the object 3 times near the same location,3/6/23,
2/14/23 08:04,Miami,FL,USA,Cigar,20 to 25 seconds,The sky was blue and clear and from a distance as I was driving onto campus from SW 107th Ave. & 18th Street I spotting this object,3/6/23,Yes
2/14/23 03:30,leroy,MI,USA,Orb,20 minutes,to orange white orange at times red orbs that seem to be in a dog fight and what looks like to be shooting at each other,3/6/23,
2/14/23 01:00,Yampa,CO,USA,Circle,1 hour,Disco Ball In Sky Spinning Changing Colors,3/6/23,
2/13/23 23:31,West Dili,Dili municipality,East Timor,Chevron,8 seconds,Bright light birds flying away,3/6/23,
2/13/23 22:15,Northport,AL,USA,Cylinder,Roughly 30 minutes,We get a lot of planes and helicopters that go by but this one was different. It was too fast and too quiet,3/6/23,Yes
2/13/23 21:40,Watford city,ND,USA,Circle,I watched for 5 minutes,Two orange beems of light that look like holograms. One dissappear and comes back. Two circle green lights that move all directions.,3/6/23,Yes
